"EXPEDIENTE"	"RUC"	"DENOMINACION"	"CIIU4"	"TIPO_COMPANIA"	"PATRIMONIO"	"FECHA_PATRIMONIO"	"COTIZA_EN_BOLSA"	"ESPUBLICA"	"CUMPLIMIENTO"	"HABILITADA"	"IMPEDIMENTO"
"865"	"1790040275001"	"PA-CO COMERCIAL E INDUSTRIAL SA"	"G4649.93"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"872"	"1790049795001"	"MODERNA ALIMENTOS S.A."	"G4711.01"	"AN�NIMA"	""	""	"SI"	"NO"	"NO"	"SI"	" "
"874"	"1790030121001"	"PARIS QUITO SA P.Q.S.A."	"C2029.13"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"875"	"0190003299001"	"PASAMANERIA SA"	"C1410.02"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"880"	"1891735479001"	"CENTRO DE FAENAMIENTO OCA�A CIA. LTDA."	"C1010.11"	"RESPONSABILIDAD LIMITADA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"888"	"1790037304001"	"PINTURAS WESCO SA"	"L6810.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"895"	"1790007111001"	"PLYWOOD ECUATORIANA SA"	"C1621.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"899"	"1790020460001"	"PONCE YEPES CIA DE COMERCIO S.A."	"G4510.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"910"	"0491509732001"	"COMPA�IA DE TRANSPORTES PARA TURISMO TURISNATUCARCHI S.A."	"H4922.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"918"	"1790009335001"	"PROVEEDORA AUTOMOTRIZ S.A.C.I."	"G4520.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"925"	"1790015424001"	"QUITO MOTORS SA COMERCIAL E INDUSTRIAL"	"G4510.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"934"	"1790010120001"	"SOCIEDAD RADIOTECNICA ECUATORIANA CA"	"C2640.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"952"	"0190000435001"	"SERRANO HAT EXPORT C LTDA"	"C1410.05"	"RESPONSABILIDAD LIMITADA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"960"	"1790006409001"	"SINTOFIL C.A."	"G4641.11"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"983"	"0992653108001"	"DUWIL S. A."	"F4100.10"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"984"	"1890009766001"	"SOCIEDAD ANONIMA IMPORTADORA ANDINA S.A.I.A."	"G4510.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"997"	"1790007863001"	"XEROX DEL ECUADOR SA"	"C1812.05"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1016"	"1090006033001"	"PARQUE INDUSTRIAL IMBABURA SA"	"L6810.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1033"	"1790019411001"	"SOCIEDAD ANONIMA INMOBILIARIA LA Y"	"L6810.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1056"	"1790006506001"	"TEJIDOS PINTEX SA"	"C1392.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1060"	"1790011399001"	"TELECUADOR C LTDA"	"G4649.11"	"RESPONSABILIDAD LIMITADA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1061"	"1790014541001"	"ERICSSON DE ECUADOR C.A."	"G4652.02"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1062"	"1790022404001"	"ALCATEL-LUCENT ECUADOR S.A."	"J6190.06"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1065"	"1790010309001"	"TEOJAMA COMERCIAL SA"	"G4510.01"	"AN�NIMA"	""	""	"SI"	"NO"	"NO"	"SI"	" "
"1066"	"1792236630001"	"LIMSEGVAL CIA. LTDA."	"G4659.95"	"RESPONSABILIDAD LIMITADA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1068"	"1790122662001"	"TERMAS DE LA MERCED S.A."	"R9311.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1069"	"1790014223001"	"TEXACO PETROLEUM COMPANY SA"	"B0610.00"	"SUCURSAL  EXTRANJERA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1071"	"1790019659001"	"TEXTIL ECUADOR SA"	"G4659.21"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1075"	"1291735181001"	"GLOFRUIT S.A."	"C1623.02"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1079"	"1790012298001"	"TEXTILES MAR Y SOL SA"	"C1312.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1083"	"1792249821001"	"GABRIELA COBO DISE�OS DE JOYAS CIA. LTDA."	"C3311.02"	"RESPONSABILIDAD LIMITADA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1084"	"0190363112001"	"ECUADOR FREEDOM CORPORATION ECUFREECORP CIA. LTDA."	"N7730.22"	"RESPONSABILIDAD LIMITADA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1088"	"1790005739001"	"THE TESALIA SPRINGS COMPANY S.A."	"C1104.02"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1100"	"0190004643001"	"TUBERIA GALVANIZADA ECUATORIANA S.A."	"C2410.22"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1103"	"1790033090001"	"TURISMUNDIAL S.A."	"N7911.00"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1118"	"0190004678001"	"FABRICA DE RESORTES VANDERBILT S.A."	"C2930.09"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1121"	"1890019176001"	"VENUS SA"	"L6810.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1134"	"1790016846001"	"REX PLASTICS S.A."	"C2220.93"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1135"	"1390008429001"	"AUTOMOTORES MANABITAS CIA LTDA"	"G4530.00"	"RESPONSABILIDAD LIMITADA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1136"	"0190003809001"	"EMPRESA ELECTRICA REGIONAL CENTRO SUR CA"	"D3510.02"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1141"	"1790004392001"	"CASA MOELLER MARTINEZ CA"	"G4649.21"	"AN�NIMA"	""	""	"SI"	"NO"	"NO"	"SI"	" "
"1143"	"1790007499001"	"UMCO S.A."	"C2599.21"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1144"	"0992659432001"	"QUALYBUSINESS S.A."	"G4741.13"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1159"	"1790033333001"	"INDUSTRIAS METALICAS LANFOR SA"	"C2511.03"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1163"	"1790017478001"	"3M ECUADOR CA"	"G4690.00"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1168"	"1792236525001"	"INVESTIGACIONES & DIAGNOSTICO MEDICO IDM CIA. LTDA."	"Q8610.01"	"RESPONSABILIDAD LIMITADA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1195"	"1890010667001"	"PLASTICAUCHO INDUSTRIAL S.A."	"C1410.09"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1215"	"1792236967001"	"TRANSPORTE TURISTICO QUINDE ADVENTURE DEL ECUADOR QUINDEADVENT CIA. LTDA."	"H4922.01"	"RESPONSABILIDAD LIMITADA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1221"	"1792237157001"	"DENTAL CHANGO ANDALUZ S.A."	"G4659.94"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1223"	"1792237343001"	"RIVER TRAVEL AGENCIA CIA. LTDA."	"N7911.00"	"RESPONSABILIDAD LIMITADA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"1242"	"1790386805001"	"INDUSTRIAS OMEGA C.A."	"C1702.02"	"AN�NIMA"	""	""	"SI"	"NO"	"NO"	"SI"	" "
